# number of observations n 
 450 
# number of categories m 
 4 
# dimension of parameter vector p 
 5 
# dimension of conditional variables q 
 4 
# number of groups ngp 
 15 
# response counts Y 
22 14 4 16
26 15 3 17
19 13 5 16
21 13 4 20
18 15 5 16
22 15 5 13
22 13 5 13
15 15 5 18
20 10 5 19
22 15 4 16
20 15 4 15
16 14 5 19
16 15 5 17
14 14 5 19
20 14 5 14
20 16 3 17
19 14 3 23
12 14 6 17
12 19 4 16
16 14 4 21
12 14 6 19
10 16 4 23
12 19 3 19
18 17 3 18
15 15 3 23
13 14 4 24
10 14 5 24
14 12 5 23
13 15 4 20
12 11 4 29
24 11 16 1
19 10 27 1
14 11 30 1
21 13 19 1
18 14 27 0
16 9 30 1
15 15 25 0
17 13 21 1
18 12 21 1
15 12 27 1
17 13 21 1
16 15 20 1
18 15 17 1
16 15 24 0
21 10 21 1
12 15 19 1
15 9 26 1
16 15 16 1
12 17 23 0
15 15 19 1
14 13 28 1
15 13 25 1
13 15 20 1
11 13 22 1
13 13 24 1
12 15 21 1
13 11 24 1
16 14 20 1
12 14 21 1
14 13 23 1
29 16 16 14
28 18 17 13
25 19 21 11
26 16 27 9
25 18 17 14
23 15 24 14
22 21 16 14
22 21 17 14
20 18 20 16
17 20 21 15
21 24 21 9
16 19 22 16
17 16 29 14
22 15 14 21
19 16 19 19
24 20 19 12
17 19 10 22
16 20 20 17
14 23 19 15
15 19 18 19
17 19 17 18
18 15 19 20
21 21 15 15
23 16 21 15
12 20 18 20
20 14 17 21
13 21 17 19
13 14 16 25
22 13 15 22
15 23 17 16
24 5 10 0
22 6 9 0
29 5 8 0
18 6 11 0
18 7 8 0
21 6 9 0
15 6 13 0
22 6 10 0
20 7 8 0
22 6 9 0
21 7 8 0
18 7 8 0
19 8 7 0
17 6 10 0
18 6 11 0
12 7 11 0
14 8 9 0
12 7 12 0
13 6 11 0
16 7 10 0
17 8 9 0
18 7 8 0
15 6 11 0
11 8 11 0
10 8 11 0
13 7 10 0
14 8 8 0
12 7 10 0
14 7 11 0
16 6 13 0
