# number of observations n 
 338 
# number of categories m 
 4 
# dimension of parameter vector p 
 5 
# dimension of conditional variables q 
 4 
# number of groups ngp 
 12 
# response counts Y 
1 0 1 1
4 2 1 1
5 5 4 8
13 22 9 17
26 27 19 17
33 32 17 33
23 30 26 26
30 31 20 28
27 30 18 25
26 28 24 23
25 21 18 21
17 22 18 22
21 13 16 17
11 16 24 15
17 5 11 11
3 3 7 9
6 10 5 8
3 4 4 3
3 1 6 4
2 1 3 2
0 1 0 3
2 1 3 0
1 0 2 0
0 0 0 1
1 0 1 0
0 0 0 1
0 0 1 0
0 0 1 0
0 0 1 0
2 0 3 1
7 5 7 2
23 12 8 13
22 37 23 16
41 47 30 22
52 49 45 24
51 39 49 27
41 41 33 24
34 40 31 31
27 31 30 17
25 28 16 24
21 19 20 20
13 12 9 24
16 9 11 20
10 3 12 16
5 6 15 10
3 4 11 5
3 7 5 4
4 1 3 6
1 2 4 4
3 0 2 2
2 3 1 4
1 0 3 1
0 0 0 1
0 0 1 0
1 0 0 0
0 1 0 0
1 1 1 0
0 1 0 2
1 2 0 2
2 5 2 2
12 10 4 9
25 21 8 21
30 31 17 22
46 61 34 30
31 28 41 35
34 36 29 35
36 32 29 33
26 19 25 35
21 19 16 21
27 19 13 17
14 12 21 22
13 12 16 17
8 8 19 9
10 8 9 11
6 6 11 6
3 3 8 5
8 4 5 4
0 1 1 5
1 2 5 1
2 2 0 2
1 0 1 1
0 1 0 2
0 0 1 3
1 0 0 0
2 1 1 0
0 1 0 1
1 1 0 0
0 1 0 0
1 0 0 1
0 5 2 1
1 2 0 4
3 5 3 6
7 6 12 12
24 15 22 16
36 29 26 33
40 26 35 29
44 26 24 27
27 27 44 29
28 30 19 21
19 19 27 13
34 19 14 27
32 21 23 22
13 14 23 19
14 10 6 16
12 11 9 12
6 7 13 10
7 6 7 9
2 2 1 7
1 0 1 1
2 4 5 2
0 0 2 1
1 1 0 2
1 2 0 0
0 0 0 1
0 0 0 1
1 0 1 1
4 7 1 2
8 14 6 9
19 18 10 16
23 23 20 26
41 37 29 33
38 48 41 38
26 28 30 29
34 25 16 30
19 27 24 23
16 34 17 22
24 13 21 16
13 16 25 13
7 11 17 7
8 4 6 7
7 7 8 7
7 2 6 6
4 1 2 3
2 2 1 4
1 0 1 1
1 0 1 0
0 0 1 2
0 0 1 3
0 2 0 0
1 0 0 1
1 0 0 0
0 1 0 0
0 1 0 0
2 0 0 1
4 2 0 1
6 3 5 6
10 8 8 15
24 25 17 14
35 24 22 20
31 27 31 35
36 25 27 19
36 19 25 28
18 22 17 28
22 19 14 21
