# number of observations n 
 200 
# number of categories m 
 4 
# dimension of parameter vector p 
 2 
# number of groups ngp 
 20 
# response counts Y 
4 1 12 3
4 5 9 2
5 10 4 1
1 2 11 6
0 0 16 4
2 2 15 1
2 0 16 2
6 4 6 4
1 1 14 4
1 0 17 2
8 5 2 5
8 0 3 9
6 5 4 5
7 0 4 9
9 3 2 6
6 5 5 4
2 2 4 12
4 1 8 7
5 7 2 6
5 6 2 7
3 13 2 2
3 14 1 2
6 4 8 2
2 0 15 3
4 13 3 0
7 11 2 0
1 0 17 2
10 6 3 1
3 16 0 1
3 0 15 2
3 6 3 8
3 17 0 0
2 1 7 10
0 0 11 9
1 0 9 10
0 0 9 11
4 2 4 10
1 0 12 7
1 14 2 3
1 2 5 12
2 10 6 2
4 0 11 5
4 14 2 0
1 0 14 5
5 9 5 1
5 3 6 6
4 16 0 0
2 2 14 2
1 1 13 5
0 0 13 7
2 13 4 1
2 1 17 0
3 4 13 0
0 1 19 0
0 0 20 0
0 0 20 0
2 0 18 0
1 14 5 0
3 3 13 1
1 1 18 0
2 0 16 2
3 1 15 1
7 2 10 1
1 0 17 2
4 0 14 2
3 0 17 0
1 2 14 3
2 1 14 3
0 1 16 3
0 0 18 2
4 3 8 5
0 0 18 2
2 1 10 7
4 0 14 2
1 0 16 3
2 0 16 2
1 0 17 2
1 0 19 0
10 2 5 3
2 0 12 6
1 1 15 3
2 3 11 4
3 10 3 4
5 1 12 2
0 1 15 4
4 3 9 4
0 0 17 3
1 0 12 7
2 0 13 5
1 0 19 0
2 1 16 1
1 0 18 1
0 0 20 0
1 0 17 2
4 8 8 0
2 0 17 1
1 1 16 2
2 2 16 0
2 0 18 0
1 0 18 1
1 0 4 15
1 0 1 18
2 3 2 13
0 0 6 14
3 4 1 12
6 4 1 9
2 0 3 15
0 0 5 15
0 1 4 15
1 0 7 12
1 10 9 0
3 0 16 1
1 0 19 0
1 0 19 0
0 0 20 0
0 0 20 0
1 0 19 0
0 19 1 0
1 2 17 0
2 2 16 0
0 4 15 1
1 0 19 0
0 0 20 0
0 0 20 0
2 13 5 0
1 1 18 0
0 0 20 0
2 1 17 0
1 0 19 0
0 0 20 0
6 5 6 3
12 2 4 2
4 7 4 5
7 4 7 2
4 1 12 3
6 1 9 4
5 0 12 3
9 9 2 0
2 0 13 5
2 0 14 4
3 0 8 9
6 3 1 10
2 0 4 14
2 0 2 16
7 0 7 6
6 4 3 7
6 10 0 4
5 0 4 11
6 4 2 8
4 5 2 9
4 0 6 10
1 0 7 12
4 5 2 9
0 0 7 13
