# number of observations n 
 352 
# number of categories m 
 4 
# dimension of parameter vector p 
 6 
# dimension of conditional variables q 
 4 
# number of groups ngp 
 12 
# response counts Y 
0 0 0 2
0 1 0 3
0 0 0 5
6 1 1 6
5 2 6 4
6 5 0 10
10 10 7 13
10 25 15 21
21 15 25 39
43 30 37 29
42 35 36 44
53 44 58 51
53 37 38 47
28 27 36 39
40 28 23 25
28 24 27 21
26 21 22 14
16 13 17 13
12 6 13 6
11 8 11 11
5 7 7 6
2 4 5 3
0 4 2 5
0 3 2 4
1 2 3 2
1 1 0 0
0 1 0 1
1 0 0 0
0 1 0 0
1 0 0 0
1 1 0 1
0 3 0 2
1 2 1 1
1 6 1 5
2 7 4 2
4 16 6 12
7 17 11 9
20 22 13 17
28 39 20 27
31 40 29 31
31 49 29 30
34 41 43 31
33 29 45 25
34 35 41 31
34 25 22 32
30 28 27 32
29 20 24 17
18 17 16 14
15 9 15 10
10 7 11 6
8 1 6 8
7 2 3 4
4 2 4 2
2 0 2 4
4 3 3 3
1 2 2 0
2 0 0 0
1 1 0 2
2 0 0 0
0 0 1 0
1 0 0 0
0 0 1 0
0 0 0 1
0 0 0 1
0 1 1 0
1 1 0 0
4 1 0 2
9 3 2 6
8 8 3 14
11 11 10 22
22 15 9 15
20 15 13 19
20 18 28 18
24 25 29 39
37 41 32 42
46 36 41 41
34 42 44 42
40 53 36 52
34 34 40 27
26 28 29 21
13 15 19 17
13 25 20 13
11 9 21 6
9 10 12 10
13 13 7 6
9 7 8 3
4 3 5 3
1 1 2 3
1 0 0 0
1 2 0 1
1 0 1 1
0 1 0 0
0 0 1 0
0 0 0 1
0 0 0 5
2 2 0 3
3 2 1 4
5 12 5 14
15 6 3 11
21 12 2 11
25 15 6 19
27 11 5 19
28 27 16 19
37 33 17 37
42 36 24 44
49 34 34 57
38 45 38 47
38 33 41 38
30 39 29 34
24 27 25 20
23 38 22 24
11 26 28 8
7 10 18 13
3 9 10 6
6 9 8 6
1 0 7 3
0 2 4 4
3 3 2 1
2 0 1 0
0 2 0 0
1 0 1 0
0 0 1 0
0 0 1 0
0 0 1 0
0 0 0 1
1 0 1 0
4 0 0 3
1 3 1 0
5 0 1 2
4 3 2 8
6 10 7 20
17 22 13 18
24 21 15 37
33 28 15 36
30 37 27 39
29 28 27 33
35 37 30 46
34 40 33 31
26 36 27 27
25 23 29 18
23 20 21 13
10 20 12 4
13 8 10 10
4 6 4 10
8 6 4 8
5 2 6 2
2 2 4 2
0 2 0 1
0 0 2 1
1 1 0 0
0 1 0 1
0 0 1 0
1 0 0 0
0 0 2 0
1 0 0 0
0 2 3 2
7 3 3 7
7 6 9 9
4 8 8 22
21 21 18 10
20 6 20 16
31 19 23 14
23 30 30 25
36 39 36 36
54 41 43 39
41 47 51 44
32 39 39 44
29 31 27 36
27 23 32 24
18 20 16 28
15 21 16 18
11 22 11 17
8 10 8 6
5 4 8 8
2 3 5 4
3 1 0 3
0 2 6 0
3 0 3 0
1 0 1 0
0 0 1 0
2 0 0 0
0 1 0 0
1 1 1 3
10 2 8 5
10 4 19 15
31 14 30 29
36 21 36 43
50 28 31 49
49 33 30 47
47 20 45 45
40 39 33 44
28 29 40 37
43 37 39 45
33 51 34 47
29 26 36 30
28 31 25 20
20 15 20 17
15 11 19 14
5 8 11 7
6 11 8 6
2 3 2 0
3 1 2 4
0 1 4 1
0 0 0 1
0 1 0 0
2 0 0 0
0 0 1 0
2 0 0 3
4 6 3 6
13 7 5 11
9 12 11 21
11 16 8 22
10 11 13 27
22 14 16 25
32 27 19 41
43 31 33 50
45 42 46 59
39 45 51 65
48 46 51 62
37 39 39 37
15 33 22 29
24 21 22 31
21 19 22 16
17 22 13 11
8 16 15 8
7 11 12 4
9 7 6 4
0 5 4 2
5 5 3 3
1 1 4 0
1 2 2 1
2 0 0 0
0 1 0 0
1 0 0 0
0 0 0 2
0 1 0 1
1 3 4 6
8 5 4 9
15 8 12 19
23 7 11 25
24 25 23 25
28 15 21 28
27 25 32 22
40 27 38 38
37 24 37 45
46 36 41 54
36 42 50 44
30 26 22 39
27 21 25 28
30 24 10 25
17 15 12 16
9 16 5 11
12 12 3 9
5 8 3 0
6 5 5 3
4 1 10 4
1 2 0 1
0 1 1 2
1 0 2 0
0 1 0 0
0 1 0 0
0 0 1 0
1 1 0 0
2 1 1 1
5 3 0 4
6 5 3 12
7 3 4 17
19 15 10 19
27 21 22 20
29 29 34 37
17 37 28 40
29 43 42 39
48 55 43 42
42 51 37 38
27 25 35 29
21 20 33 33
20 25 16 30
16 17 20 25
11 17 16 10
4 12 12 8
8 5 11 10
4 8 5 10
4 4 3 3
5 5 2 2
4 2 0 2
1 1 1 0
0 0 1 0
0 0 2 1
1 0 0 0
1 0 0 0
0 0 1 0
1 0 0 0
0 0 0 3
2 5 1 3
7 5 4 3
12 10 16 10
15 13 15 8
17 17 13 24
30 19 21 18
36 20 24 39
40 32 30 38
47 46 46 51
46 38 52 51
39 50 26 35
40 38 38 49
27 24 31 31
18 26 24 14
10 15 26 22
6 12 11 11
14 11 9 14
3 6 4 5
4 1 2 2
2 4 1 7
3 0 4 2
3 1 0 2
0 1 0 0
0 1 0 0
0 0 1 0
0 0 0 1
0 0 1 0
1 0 0 0
0 1 0 0
0 0 0 1
0 0 0 2
1 0 1 1
5 3 2 3
8 2 6 9
4 5 8 11
8 10 8 12
24 24 13 25
33 36 30 46
37 41 36 45
47 39 37 46
52 43 47 47
53 40 35 46
49 49 29 38
43 35 41 46
29 24 31 32
41 20 24 25
23 13 23 25
11 10 19 5
9 8 7 8
5 9 10 9
4 9 6 1
1 4 5 2
1 4 3 0
1 3 5 2
0 1 0 1
2 1 0 2
1 0 0 0
1 0 0 0
1 0 0 1
# model/design matrix X 
1 1 0 0 -0.0911475107696499 0.112428174706652
1 1 0 0 -0.0791310599116286 0.0728244934399812
1 1 0 0 -0.073122834482618 0.0550475154479855
1 1 0 0 -0.0671146090536073 0.0386204458835495
1 1 0 0 -0.0611063836245967 0.0235432847466733
1 1 0 0 -0.0550981581955861 0.00981603203735687
1 1 0 0 -0.0490899327665755 -0.0025613122443998
1 1 0 0 -0.0430817073375648 -0.0135887480985967
1 1 0 0 -0.0370734819085542 -0.0232662755252338
1 1 0 0 -0.0310652564795436 -0.0315938945243112
1 1 0 0 -0.025057031050533 -0.0385716050958288
1 1 0 0 -0.0190488056215223 -0.0441994072397867
1 1 0 0 -0.0130405801925117 -0.0484773009561848
1 1 0 0 -0.00703235476350108 -0.0514052862450231
1 1 0 0 -0.00102412933449045 -0.0529833631063017
1 1 0 0 0.00498409609452018 -0.0532115315400204
1 1 0 0 0.0109923215235308 -0.0520897915461795
1 1 0 0 0.0170005469525414 -0.0496181431247787
1 1 0 0 0.0230087723815521 -0.0457965862758182
1 1 0 0 0.0290169978105627 -0.040625120999298
1 1 0 0 0.0350252232395733 -0.0341037472952179
1 1 0 0 0.0410334486685839 -0.0262324651635781
1 1 0 0 0.0470416740975946 -0.0170112746043785
1 1 0 0 0.0530498995266052 -0.00644017561761922
1 1 0 0 0.0590581249556158 0.00548083179669988
1 1 0 0 0.0650663503846265 0.0187517476385787
1 1 0 0 0.0710745758136371 0.0333725719080174
1 1 0 0 0.0830910266716583 0.0666639457295739
1 1 0 0 0.089099252100669 0.0853344952816918
1 0 0 0 -0.0911475107696499 0.112428174706652
1 0 0 0 -0.0851392853406392 0.0919513798595367
1 0 0 0 -0.0791310599116286 0.0728244934399812
